Year,Author,Title,Poem
2023,Christopher Hunter,"LOUISA, AGE 6, AT REST","Louisa alighting into placeAlways dazzles me.
She twists with surpassing graceInto an inverted curtsey.Her arms smoothly interlace,As she gets all topsy-turvy.Until, in sudden about-face,
She folds her knees,And flees."
2023,Susan J Koch,SOFIA,I cannot disrememberthree carefree boysdragging a bear cubthrough Macedonia Square -a ring through itsbloodiednose.
2023,John Mitchell,NICHOLAS II,"The ghost of the Tsar walks.He passes some Jews and Gypsies.One curses him; another throws a rock.Bad angels fold their wings and watch.
Choirs sang at his birth,Armies moved at his command.God rang the bellsWhen he walked into cathedrals.But now he hears the noise from out the eastAnd sees the fire in the western sky.
Death crowned him at his birth,His cousins glittered throughout Europe.He seldom followed good adviceAnd did not ask permission.He lost a navy in a foreign seaAnd an army gone at Tannenberg,But still he played the emperor.Magnificence is blind and deaf,And death took all his dynasty."
2023,Alise Palmer,BELTANE,"A boy green shouldered, growslike corn endlessly and over night.There is no laying on of handsand praying him small again. Hewill not be touched like that.
His eyes are the color of home -almond and curious with episodesof Breughel. He wants life indetail and spillingfrom his pockets.
His laughter cannot beattached to anything. It leaveslike silver paper geesein shimmering specksand fills the airsurrounding for acresat the speed of memory."
2023,Rose Postma,ON TELLING MY MOTHER I AM PREGNANT AGAIN,"My mother, who spent the day after my birth trying to decidehow to tell my father she didn't want another child
but went on to have eight more, says: the doctors will tell youthe pain of giving birth is erased by hormones and endorphins
scrubbed from the slick surface of every sensory pathwayand the anterior cingulate cortex, wiped clean like
a school bus window on a thick tule fog morningby the back of your hand, but the pain is still there
like the letters you traced with the tip of your cold fingerin the steam on the glass, waiting for your hot breath
to reveal them again and again, waiting to spell outwhat agony means. The pain: it's latent like an undertow
beneath the ice on a Canadian lake, like a knotheld down by the lacquer of an oak tabletop."
2022,Phoebe Bubendorfer,OIL SPILL,"A red-throated loonmired in a slick of oilstrains her neckin each effortto lift her bodyfrom the toxic sludge.
One last quiverof wings.She lowers her headto her breasteyes closed inacceptance.Rainbows in her feathers."
2022,Bill Graeser,THE BURNING OF THE WHALES,"Fire never seems to mindwhether it's the curl of a candle wickor a bed with baby sleeping.
So it was with the whalesbeached in Oregonand the not knowingwhat else to dowith the corpses.
If we were but firewe would not mind either.
But we are also water,even one drop of whichforms a tear.
Those who were there that day,who lit the matchand beheld the flameson fiery wings rise,
they will never forgetthe trembling of the seain their chest."
2022,John Mitchell,THE BUFFALO,"The buffalo stands still in the wind.Staring ahead, huge, not even botheringTo guard its flanks.Mysterious, majestic, silent.Misplaced in this warm world,Waiting for the next interval of ice,Watching the horizon for the returnOf glaciers and the arctic birds,Screaming from the cold, blue sky."
2022,Lily Nelson,FEVER,You are nineLying on the front room couchAnd time is thick like jellyFever has made the world softAnd goldenHoney coating your skinStuck in your earsHeavy enough that moving feels like wading through a poolExcept worseExcept slower and more tiringLike the world is a blanket wrapped around your shouldersAnd now the world is burningYou can't smell the smokeBut your skin feels like you've become a starA bright heat coursing through your veinsFlesh pasty and paleThe world is too bright and hot for nothing to be burning
2022,Lucille Morgan Wilson,LISTENING TO DVORAK'S HUMORESQUE,"The fingered notes play up and down my spinelike gentle ripples in a laughing stream.Caresses linger, freeing by designsweet fantasies I had not dared to dream.
A swell of melody weaves shining chordsinto my reverie, pulls me alongwith silver strings. Such leading, peace affords.Staccato notes, both delicate and strong,
strew in my path bright nuggets of delight:a momentary rainbow after shower;stars bursting through the canopy of night;the dance of carillon bells from a tower.
The final quarter notes fall clear and sweetand drop a host of bluebells at my feet."
